id,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99
10003088_234,0.4795455302352459,0.5133631008684691,0.23920804571785612,0.3623104226424302,0.18729134042976311,0.33084634240762373,0.22207269714235814,0.3131195219983952,0.3274611926369442,0.3753559249548331,0.28204161214975904,0.34652788248362404,0.3560590250355728,0.4756321921091505,0.06230742669489689,0.3828491813049625,0.2780033186058613,0.3305498031394623,0.3658081309656189,0.3804891202049072,0.15997366979219435,0.4905870410343809,0.3428467684146134,0.2480178739245915,0.3393870808610609,0.351021077883867,0.24131937712886103,0.48192174414426064,0.2517119539378063,0.4972245796666511,0.3043504745976162,0.31235079663874776,0.28040638750617214,0.23105207273642162,0.46796122609555085,0.6264730369602907,0.5650015508028485,0.42115157548508414,0.16180901629493885,0.40286742995147384,0.18588746967205105,0.4264978432417896,0.4416692949652442,0.18967490198997333,0.24906232027218503,0.37200242907034875,0.38208119661912104,0.5327904246841763,0.20086705305295158,0.2570141289226624,0.18478605000667783,0.1938535918568607,0.30568886891592556,0.12057914489348388,0.1837299061708118,0.3633818642833326,0.2418675006098328,0.2727218196237071,0.1968842389666753,0.3627485860157079,0.4175303616171235,0.17846367525367815,0.43832015544708386,0.41520793611391266,0.22985164284122922,0.40124863584043013,0.3638155968938762,0.35095898949670223,0.32358496448323293,0.3465822947247435,0.24753880435100462,0.41200961583091356,0.37071823129123443,0.1120133588486617,0.18978277276096583,0.2186199971116412,0.32862811640818146,0.2412303812000915,0.1585310753142964,0.3646565991667888,0.6521526623354164,0.2551040238921474,0.4311597237058308,0.586260404011878,0.307534044468035,0.327646386297515,0.42546947387615286,0.16110359477637556,0.40976546672442415,0.4978518625388111,0.35120765918735175,0.4995756200899212,0.16864925932501187,0.34393304086454424,0.22772340431770488,0.3601042292828386,0.3711707039970167,0.2178302557971582,0.21528142490694505,0.4422265268291854
10003231_234,0.4004168970745962,0.32185868512259574,0.10212754821092997,0.12212187959802263,0.2651389551834814,0.2728916601270362,0.2001455770637632,0.19615399886315577,0.22920100447463634,0.2848815583445522,0.21198182398772192,0.1883042004452571,0.09459290797746758,0.2961123226662647,0.1930043227738061,0.21675166159944867,0.28806623099585427,0.20192224695020577,0.24612416376936064,0.2534901162613727,0.12704190345726327,0.257702943592407,0.2990635335068187,0.13982082516737793,0.2595219215807818,0.2309755227972991,0.16656932131869542,0.2579466379585649,0.09402559767666267,0.24348896984997895,0.08392833879888519,0.4011987208653543,0.24049875191859854,0.18026084136608753,0.15371780327179102,0.2885311844700798,0.22506216250428207,0.08706004864032428,0.17260310158642284,0.24940265931350972,0.0837333966373394,0.2815590577608709,0.2728386164491346,0.07432700148236597,0.17498465483881892,0.19518821954720483,0.2280260793195853,0.22256127397441675,0.025572833783675548,0.09210304766657153,0.32013973563775966,0.07314865744146863,0.16330594246358157,0.09714181456590996,0.2477781388525691,0.35461192332789304,0.03286163196550909,0.09663348449858399,0.13259395997020973,0.2535265647316991,0.19232189723163298,0.22384209372863423,0.18610847247222967,0.12723987553332966,0.2790405181838098,0.2617703700550813,0.2796463613462918,0.2067940219525883,0.12096009198225359,0.22342280387044752,0.07282346915682857,0.3416367095314547,0.3262667459462432,0.11914577435622303,0.16917412865142697,0.1702248356212859,0.2774680892198834,0.15473410427918133,0.04092194334112139,0.23864485758734755,0.32656980068952607,0.1218858453506293,0.16532738449760273,0.2075755831777368,0.21837644179379975,0.16965821642868875,0.12627296879778957,0.2161899409941342,0.24152857887476328,0.3403058463410967,0.27180878606717407,0.3316774663533501,0.11361216270171141,0.19025057687190577,0.09464932770535284,0.06404517767258203,0.14410690104229626,0.20270314783955404,0.19563776789470355,0.2227978564641867
10003282_234,0.3491744209629595,0.4373665995822702,0.19271626914930812,0.3461048649475542,0.15768526436264332,0.2865412273483358,0.2270348571938048,0.3026161669100903,0.30290340331888754,0.2642360001739244,0.23816556073772796,0.3415935709906102,0.3234106947026095,0.38485886585315315,0.18902104288647426,0.29423637034796163,0.25473499630371116,0.35860359307723183,0.2944968303723139,0.2619549333729713,0.21240359918356322,0.40028703214393074,0.2587541651335242,0.198360850959988,0.320916060128952,0.3174024970013013,0.1684173645298537,0.3103305604846143,0.25014827745420637,0.393714909641854,0.2172746566288405,0.23788144427679292,0.2841057711902609,0.3105029453412502,0.4611982642167789,0.603635089077731,0.39652575485858577,0.3592231492461523,0.1307920541875388,0.32875178023770224,0.10353462661210586,0.31329122270281706,0.3803529647974501,0.2273297163572139,0.21055428087504663,0.2766344405922741,0.2859423623213849,0.3519302043519707,0.34917123332505756,0.14799499362099822,0.13587933601780022,0.2763309345113773,0.31584072966711096,0.07556410511144798,0.245237470339204,0.2712268295085119,0.22493705326738553,0.22351389327187476,0.15321627819757225,0.26235338564406824,0.2444735241269722,0.10720970274723397,0.2508650468706692,0.3120908623336408,0.19246770282562803,0.5008625238354356,0.2241515770839681,0.35983061664988797,0.25804938032420655,0.2738817170653287,0.17484679087765137,0.3604467215758931,0.25852497985861783,0.2655181775693935,0.15900778396215076,0.2542087272962049,0.37030752607249906,0.17130874724469625,0.2503826332671411,0.45536416378635947,0.4549703373254671,0.2585811124722163,0.4000056776254039,0.43570957458108645,0.31422338076768896,0.2525851169324633,0.31745150102927605,0.13601058377103015,0.3446783711529992,0.5369243908584864,0.2953626174328972,0.4698841708142154,0.10252103727596014,0.2763736159618399,0.22888051950032454,0.36460079033443266,0.21170050293530113,0.21404175219502825,0.1897037643537082,0.39477616322842246
10003266_234,0.2300439686235033,0.2623052778045774,0.12913206229771132,0.1541569470440244,0.16526963115305723,0.18011499440852236,0.12687863813286868,0.30331331379652343,0.18435160130203196,0.18865001693570166,0.22840075710090357,0.2172979420173054,0.2609473846865999,0.23527351097241717,0.19165170454190703,0.19784057854486325,0.1681453479735352,0.258273111430032,0.13176684482743395,0.17415587073421027,0.20512027524698062,0.3148374174353009,0.24782345913227363,0.15134219044422445,0.2936838046767855,0.13960432594852534,0.19990300981514603,0.18857912182448716,0.07349068945805688,0.29627995406975466,0.26694546780116946,0.19214460078226886,0.2255399472474426,0.1912308960423734,0.2601504213443504,0.35606742528097113,0.29507883779708,0.27728590395064134,0.19571907393178706,0.2990012001469511,0.13754294791380506,0.19374468241542445,0.2274172708658885,0.16785466405145166,0.10523107603081477,0.18876238470450432,0.20542887236127247,0.22843043886751618,0.18971586651824113,0.13263920401621193,0.16764773345242087,0.14374149034852085,0.17791731825386128,-0.040034357679691296,0.22509493757892327,0.20609185751711476,0.18415052540314514,0.21508357799957997,0.22024624100007079,0.18965502755334776,0.15418184871259455,0.15381053116393142,0.17361576178402827,0.20679309614376956,0.15655891837680105,0.4396654949905079,0.12556531863582635,0.18586533750516498,0.13772447382211273,0.18453709459110354,0.038673669826147776,0.2405814276993014,0.1389612659563641,0.3381947562935475,0.18635338753961064,0.1500355186183515,0.2622905248393686,0.14991264598505832,0.17872331155362733,0.34990330706339107,0.2762481445300338,0.18114158799779395,0.21385115294452187,0.26599658972703527,0.20256378916382323,0.1402894711117165,0.24646247928668846,0.07691638055728911,0.2243669324109018,0.3570787055645369,0.18315339233368383,0.2987550559604799,0.16634154002431142,0.30833700104427575,0.21363568104039643,0.26453403705407685,0.17225567250593576,0.19752823805862968,0.10625385068835175,0.21511979609496204
10003169_234,0.4670426123238447,0.43888549995426,0.14866017413354052,0.37687424332185365,0.09485177782092837,0.28586949784180354,0.2256212001219581,0.2683022039962783,0.30031757889388333,0.26730632086236245,0.3282250453206984,0.279640631265383,0.3814560548883077,0.45486246896349447,0.13803044279132032,0.3406149984547088,0.4008053102661801,0.3114070512738564,0.29767717274357414,0.3824622416143797,0.11832550150997467,0.4283382102038445,0.23795728229157492,0.29180873051907785,0.23325961608372892,0.25626969688964335,0.24565379262504694,0.37498415512051464,0.24565427850488886,0.3583548508827738,0.21182135183192158,0.21860863400241276,0.23717686016190972,0.25321506734225224,0.5245589818547526,0.5934779027539543,0.6240378587342189,0.4259412330649171,0.09794012592201087,0.34369257480702864,0.1882888155151357,0.4053445619993341,0.3829059158517448,0.23144056526036832,0.20574117852429755,0.22683006023146665,0.20887138250144688,0.475727599915281,0.366641272381789,0.2584719928804117,0.10171233860660794,0.15495267987944614,0.24052211597038708,0.04152537607326873,0.1945631194434394,0.2900585111598741,0.24039548130813787,0.2894847932633713,0.20694681411051508,0.35068215926552404,0.31720397964521024,0.14575567135460876,0.393158143769452,0.41151610536643346,0.2213435285408373,0.2929471162336253,0.32266031495101055,0.34250002199477736,0.25964474721788533,0.25922990071429836,0.06601083385272002,0.32598091417110076,0.3434722261549945,0.14585297999931174,0.18681436745021326,0.16046648583361794,0.33034814506913346,0.14095696618314585,0.16235001678410926,0.3465805789300433,0.5550618788650897,0.2878137701665401,0.5172945140416082,0.6416065409549524,0.27934067859928013,0.32589377417074206,0.5554892521298596,0.12103961822414246,0.33565576195436925,0.4164257398780995,0.275332080560447,0.45609539916006375,0.11207702255205215,0.3406101039027079,0.24357505023181672,0.35363398834120846,0.2624503926022848,0.20403954313617925,0.20910352970946347,0.4085893646309568
100006_102,0.5108095924843895,0.546720351003466,0.19873276844770238,0.29058113776806926,0.1696769138203854,0.3052281004661571,0.25150783820611683,0.2654926100302811,0.3793238380895744,0.38055367786307515,0.3793924499557868,0.3025145406946199,0.29270291464392445,0.4947789354673734,0.13019727970282924,0.5247330506616981,0.3267641048883503,0.24671076505928727,0.527843031594228,0.4095297658323363,0.26930184229530035,0.5278264834524287,0.3820030496030286,0.32190884124647534,0.2701243705685475,0.3027911676641008,0.28853374658769254,0.4285898133261785,0.32627066352003664,0.39513791579948326,0.20185142711445958,0.3747290822818887,0.2729687939685457,0.23273204469045408,0.20410061560527376,0.4531193607689794,0.3145967275631898,0.2987041850974161,0.18762007375351242,0.3888991134361435,0.24872014387286512,0.40683004045425797,0.40136518646927777,0.12368133290062604,0.36364656189451644,0.4245080954897968,0.30054085164479516,0.38902107910363737,0.050290026684581546,0.24926094039773355,0.2282001242061062,0.12323334852413659,0.3587325138045988,0.06335338548445564,0.2604411428556921,0.5292652197592753,0.14399410186302203,0.23403155836228778,0.200517105801154,0.4377036830559806,0.2977687116061769,0.2712015286757239,0.2619571680097469,0.3167648975914376,0.3468550105161456,0.21530980992661408,0.37431986819502383,0.33000886223303283,0.2113050641251319,0.3197099595691787,0.19531091341589651,0.3817173856115182,0.6888352876922268,0.1544736223188955,0.16742337069560168,0.13555703931733779,0.29869212522088506,0.21242250453852937,0.06090349962139654,0.30136483626619176,0.5831612449020959,0.2672318981198996,0.23099691287117433,0.3652464712931302,0.34811006750980783,0.34940428219280883,0.31812437620204337,0.2819730663000371,0.41727855639817457,0.2430580260371526,0.4300524582992925,0.4078547619563485,0.17036983802190897,0.34784461988059195,0.2693496385523468,0.3085852695246026,0.2524667814265808,0.267485994927509,0.33798153328923847,0.4263063957135812
10003290_234,0.29874448804785475,0.2886052686221349,0.11638063413058433,0.1633429642114564,0.19290550649478974,0.2527750174054837,0.12488020859307167,0.08860993615618203,0.3131593713282161,0.17105375962356523,0.13046795939351838,0.14829092614086598,0.12338059756483366,0.3081449430428338,0.19494145018893497,0.28180851765897075,0.19155182052937905,0.16051116893951609,0.26325973916673145,0.19978819486414082,0.03047983303273371,0.28286786825332927,0.221690332604744,0.10498271869183262,0.2209972328998848,0.1259333391236676,0.18347463675587322,0.2905554668628625,0.1303778589973363,0.20061016323291583,0.08663472421937471,0.2879433149168697,0.24820143350255625,0.18344211627004753,0.23362492462400145,0.49287045480577224,0.27877004833698094,0.18776218253688762,0.12767524261107216,0.22781078663290455,0.05108879300825709,0.22375046615290511,0.2777327871211968,0.07188280906041887,0.15451963068346897,0.22250270400454364,0.10850375141246281,0.28131115552955693,0.1417912421548275,0.0619593205981357,0.08428207129527426,0.10462942439868682,0.1300386521634323,0.08284265253690828,0.21909330075611927,0.43692586896681596,0.09519396642640615,0.08768671724711603,0.12393951771133421,0.1829906596701633,0.12308878608525924,0.15455140602801598,0.22297155904564867,0.11010936606796828,0.1634359971617427,0.18591917456194784,0.20079808961924828,0.19597564520728353,0.07677890186806063,0.15992492316548862,0.2524702874287907,0.34507128909258444,0.26477654876755746,0.040167036533905257,0.06803235273000295,0.14311129264093395,0.1965417137203831,0.1499206497907281,0.004198295614492116,0.16435906701828684,0.3853610798921174,0.187273790779827,0.20314263684940345,0.28087816707442953,0.1157488476994204,0.15605186999283824,0.1821040848306138,0.154716970565482,0.3862350353327349,0.34932369643563654,0.18644375783247152,0.27980585822513065,0.07796854279585477,0.22360978275750065,0.1633867637819622,0.20613204383836717,0.1816211349612012,0.14531691081960532,0.04303102648996314,0.3514277085553938
10003223_234,0.5954114999396453,0.5424155993527228,0.2595103942913908,0.2704875155359298,0.19607490754460277,0.48899930922435547,0.2679018311541873,0.25907626519379723,0.36923052637438103,0.38557286016602116,0.3055501088590472,0.5829224861617531,0.36261438594624623,0.4489864535656744,0.18420018949618983,0.39056940326311673,0.3353960751971502,0.3504930274354544,0.3503941520975437,0.34615555248940333,0.15211954604234273,0.43516386068039054,0.371411022982741,0.17111276880496085,0.6202278955501692,0.40466950242499417,0.31325728288547855,0.2727861183583704,0.09804574443028187,0.6646841311816867,0.2645406766473485,0.39388788004862807,0.37519273130302844,0.4114031348618248,0.3780144260259508,0.7015952673570494,0.3794656876859597,0.29420941360651726,0.1859375473465478,0.4359932881268852,0.18231507791561086,0.45693698968869667,0.360851491417669,0.42278316873531807,0.30034296378868874,0.1951266935052371,0.4172196289695098,0.3511503024016509,0.20292599039785195,0.24500607656960433,0.2805439566593822,0.331812247086448,0.30680956441373186,0.15720712574891105,0.3549513349161266,0.3254841427571013,0.29555369875063836,0.28987202994905736,0.29110677645608163,0.38899138820755674,0.31995251564484156,0.2873350391694771,0.3224293013291802,0.4655248911299065,0.326893560796461,0.5299798625321159,0.3911224926554509,0.5040856457582903,0.48452646202898947,0.21990347382510128,0.16683058399585957,0.4258888312165198,0.3280937651711159,0.22727347302206374,0.22582557870782025,0.28265901564875395,0.41216914094138035,0.2842675669311727,0.3445484590161437,0.4888860346251708,0.5433893245384264,0.2867589113334015,0.29760725651156245,0.36532961460746166,0.3253338485133502,0.34440496327417885,0.36898168870250564,0.2268618646027304,0.29246041595033245,0.5561273377980392,0.3955433695732247,0.4747932005372854,0.2204118611759019,0.3458208441856157,0.2788930267320473,0.24889700520398317,0.3250728207787186,0.2734015945715443,0.17191819705272504,0.32641561616731274
10002071_234,0.49095115535739203,0.5627943693754949,0.18386582363550322,0.3379539815242746,0.2705670083913453,0.38159952199910296,0.2694384455271231,0.28936676868705036,0.3896340488664596,0.43604542070745955,0.22057576353178032,0.5091425586851125,0.4748867012024473,0.44958311056103056,0.10005491414775937,0.39201793169644406,0.28452444587787207,0.3101116998161292,0.41575708682917517,0.27651623367833345,0.13940340093877898,0.3830701024733467,0.3531627084893069,0.16159170936641454,0.3740758371096627,0.3796041067138876,0.18375162796121455,0.3698137238478283,0.2073346367665423,0.5956301765577536,0.3295417928782896,0.3185831985776573,0.37935740633755893,0.30178932798055796,0.3691334270424694,0.7258379383287328,0.2851225767815339,0.4175751971987926,0.11740456491008534,0.45756237659052584,0.06202521881436123,0.37072337606153405,0.44933701896720657,0.20114552458570278,0.3368877898874704,0.2639364565236287,0.5397392820534214,0.37831727526861775,0.31246114850336454,0.1434483017550732,0.11554071144365259,0.31484919433058567,0.3413841954369936,0.10352032080484239,0.25015546519597853,0.32819638173418814,0.27447735011145213,0.31470019451369735,0.21549855147700062,0.3886313935476648,0.2679156969073223,0.1713447977322351,0.29965760026471794,0.5206516516239891,0.27741587927064987,0.5043672228711819,0.42447171089416147,0.5165406689504692,0.3642313973458644,0.1560665665435034,0.15156824878495165,0.3921576262587947,0.347579302101065,0.1795421059810716,0.1869772081464609,0.19198073823248127,0.3860080602778407,0.22412014239295663,0.2910776767585799,0.4680576010678932,0.5145719246391848,0.24445499358710604,0.30536327555548975,0.38104041536542466,0.2974535567159909,0.29144328123369195,0.4606066515451112,0.3413785926782207,0.35328759967430945,0.5694348227606889,0.3352909478388874,0.4721770336345625,0.19427615690596622,0.3328384995080972,0.20378137486126033,0.2718305517053806,0.43052603670654865,0.27764286685983536,0.2107910400077507,0.40994371814277736
100022_102,0.6527769583506516,0.5959707918040192,0.24172721815304293,0.28431193607965227,0.21987876080165425,0.5526343030989198,0.4073218713620604,0.3054214391046982,0.35925277011810314,0.41976259441649977,0.35487508645637755,0.41925488696992114,0.40856691551970764,0.5058124846149715,0.26153585383592476,0.44146859915022835,0.3567139284273292,0.2844686575724695,0.43553356520235337,0.26912473296748746,0.16656156527598262,0.39332279524115193,0.42554237547733637,0.21662371526713425,0.40290899291201865,0.4122989935091283,0.33515740010606115,0.26628471385314134,0.1680109299242496,0.5185805450111962,0.12868988241263574,0.3962124581132515,0.48704854609170645,0.27283338592863965,0.26512363973526465,0.5186591803170514,0.27238625193356136,0.2520784368435219,0.20433080985695268,0.4540203749797851,0.20367446750931328,0.47302624446816577,0.4006987560282326,0.26271412387591314,0.3390320659978182,0.29424987022231347,0.36005164285408214,0.3410671548989194,0.11347668064047592,0.22289881535107678,0.3260796540933859,0.32569158542250115,0.3507646499811999,0.196697450513482,0.41452703505145183,0.44258122876990025,0.3430388930972546,0.3574996147532375,0.3036740717273942,0.4948098772106478,0.2981059787673321,0.29971007446280284,0.21962345028040042,0.5143162873343109,0.3582306780360819,0.4555166509987625,0.5667112551767612,0.6691076702879969,0.2192490799885739,0.24593506971513354,0.1745020641959806,0.47408895461626316,0.3948461776498627,0.16061515683158106,0.09786975620353258,0.20879394344049432,0.4044728090840696,0.35060515277505216,0.2132341271872989,0.46808946500734283,0.43151067962663925,0.2887747868660668,0.1838971769486881,0.2305759500709123,0.31384680920688796,0.33954569267034235,0.4731827164624018,0.4796040255200043,0.3722871194376446,0.3279335276661815,0.43396032783559113,0.503735266252318,0.29417144901950526,0.4629759982755502,0.33732111905965717,0.2170708686996993,0.2700425361954284,0.3651487731435463,0.1169508656430962,0.3728433689543619
