id,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,L0,L1,L2,L3,L4
10009815_234,0.0,0.044650729423928386,0.2489193094464724,0.3049416234710321,0.3531792342081437,0.4973130058279853,0.0,0.33232584118550373,0.5593444037263535,0.9334844447873474,0.2818828034835357,0.30964218281790723,0.4336096133014667,0.43120450329299653,0.17208984904699307,0.7420734662500846,0.34956593137836833,0.35836008425618987,0.4493442614953353,0.2770757438123022,0.7075429339089011,0.28703072823744047,0.4894346628879503,0.0,0.1046264760351516,0.27191939707474017,0.4283031460805951,0.1785235980690522,0.33330942035132155,0.46633589969486355,1,0,0,0,0
10005558_234,0.0,0.1384710305099879,0.3161209002858562,0.33101421007430465,0.3372669831089457,0.39752176414477436,0.0,0.2788729506100064,0.39733947892981303,0.6247599243286874,0.24314661494453302,0.21715347990629516,0.4221647446573937,0.46836021466682765,0.2163102088196903,0.9353679174681586,0.36792868167532217,0.293997682963895,0.38290613188802064,0.15478539930945054,0.5345207873127652,0.19525287565649704,0.3251830204746429,0.0,0.1013067655144574,0.2913025481516711,0.2738566191040389,0.17688844720567862,0.29280160269712896,0.2949214599854043,1,0,0,0,0
10019636_234,0.0,0.1049102060791219,0.2406090739363743,0.25842587938787176,0.28565762771217657,0.45934346930264985,0.0,0.337277412073165,0.5740922427715379,0.8275923666485244,0.2526529154868041,0.2687948251021544,0.3642730263567711,0.3865787770408392,0.16727330601388454,0.6452057003794166,0.3060825016377802,0.28991443556521634,0.4484280865921578,0.24535873517541854,0.7972964682443447,0.24068057956451783,0.4366564881885418,0.0,0.12959397191011435,0.17449134920644596,0.38462202561217523,0.1704510711235173,0.27132128818176543,0.3926986242102214,1,0,0,0,0
10024784_234,0.0,0.22744521461832484,0.17748928242308076,0.36801574438985213,0.24738408381715868,0.4209967593631057,0.0,0.3206264587425966,0.3968169437003772,0.4828293754762576,0.37403906156385613,0.36430705943901776,0.32343182184125374,0.38010543523920776,0.21165788684553757,0.4103210233536541,0.21235328666538728,0.2504424571992664,0.9866115695192175,0.3965249610998214,0.47433207667879307,0.35264975213391475,0.4962929653568605,0.0,0.2425035479994324,0.22583085055507585,0.46362729618179555,0.18466907332433632,0.36188645204555325,0.4807858546477596,1,0,0,0,0
10008604_234,0.0,0.08667867896296791,0.27073205761999813,0.16403354557597297,0.2797953359806794,0.381442341394423,0.0,0.3582846337417083,0.9649536595195161,0.6451448000232187,0.2120179059210759,0.17877108392524207,0.24668443002353876,0.3221921851302909,0.1290631133264705,0.5248964793612308,0.16138499405926227,0.22035092658001076,0.4325153406304373,0.1636176683253623,0.5627477624475785,0.23818799965368267,0.41554361110888594,0.0,0.15461892296794494,0.16950350329496558,0.3298598315130231,0.14228191274583993,0.2023364170889949,0.3270175343192578,1,0,0,0,0
10003566_234,0.0,0.08299601678410688,0.1897117250365432,0.2651138833020904,0.34577286429683085,0.4957869261667354,0.0,0.34563365970770277,0.5522755341197811,0.8260589196066102,0.3632438100296326,0.30095569312402903,0.3966664042216724,0.4206324169615895,0.19639954843001436,0.8193873401682091,0.3293211780236399,0.3262639689310384,0.44245339227965513,0.2278250856896406,0.6411573656732991,0.24769425972858197,0.46148807849731355,0.0,0.15198922475330529,0.26848232536577066,0.3982498066735044,0.1597581317348194,0.2739186592541116,0.4008361375686078,1,0,0,0,0
10018366_234,0.0,0.0726628722718801,0.2643794112672162,0.27607894775234465,0.28715042424757564,0.461796634054018,0.0,0.2752756613518906,0.515208226794016,0.7532062342885677,0.29233306713566026,0.2604292836295208,0.39771633858069916,0.4301538175588237,0.19465948666004737,0.6460150441343441,0.3207738753600244,0.2984387174695622,0.46747278438723033,0.22083968515950123,0.9751656425950619,0.3177885076785945,0.4439934082948811,0.013220176225100296,0.11851376138455245,0.17564525185966381,0.35592787598750353,0.15040429736639702,0.30970886115029056,0.3737257397864801,1,0,0,0,0
10023652_234,0.0,0.09109281276708985,0.2231139505553609,0.307547384854565,0.3603431257287679,0.5350191577221518,0.0,0.32841939991278735,0.5523278617712086,0.8903933572738844,0.312265642611113,0.2686244037216907,0.4521696100338615,0.47000589349812677,0.23105891823497388,0.6730108446103947,0.30296464221682684,0.3021347541044,0.43542697729390184,0.24518671718268636,0.6706338546798605,0.27321587677939535,0.47080154952875086,0.0,0.17951128934309682,0.2696942770392278,0.38989067842897096,0.15606454351475846,0.3266035790501735,0.3898005017553114,1,0,0,0,0
10018745_234,0.0,0.07882387693022132,0.25500226882175503,0.3494940436931955,0.3867572812854497,0.5635514661893185,0.0,0.34168901387646605,0.5880993387604526,0.9399090162631871,0.3401478218454733,0.31514289912594684,0.45494828250854324,0.46818629779785714,0.20448019392994043,0.7477317552757362,0.3436123334774787,0.3435019630237761,0.46608414589505326,0.2827256069455469,0.7420315493309478,0.3266048601533621,0.528394373398281,0.0,0.18258794042123092,0.2489746966374106,0.44359574800695,0.18208365208393384,0.3264722154365737,0.4589366096451921,1,0,0,0,0
10017524_234,0.0,0.11502324452675616,0.18408712783024636,0.29419838173828006,0.300799131300727,0.46816049281334216,0.0,0.29613558972376536,0.3577753953806903,0.42897012372037563,0.3153136288826632,0.29507036138472376,0.26998659261813107,0.34280877511854363,0.17910460749597065,0.36565353941427703,0.25929859883690026,0.20207287500457544,0.49723725208712194,0.3571794949905197,0.4120586152927954,0.30868235961742624,0.38155940269033845,0.028691953543975555,0.23722767237248488,0.17255623928514588,0.4105137822084392,0.18222026297963478,0.21567698633678026,0.3817252023286019,1,0,0,0,0
