id,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,L0,L1
10018690_234,0.0,0.4844908215421048,0.6199511290603287,0.48457730482214156,0.8669848659632805,0.4356134482138225,0.4636189390944412,0.8573520470458608,0.6001064357535829,0.7781843598672448,0.6160125259117913,0.775299901180475,0.44662048055837866,1,0
10003291_234,0.0,0.4571949325300154,0.5130803606608643,0.40063896985364644,0.703132254869521,0.3279778946801161,0.4508412559716019,0.6494633965432258,0.9934591115216123,0.5820776369818592,0.5183248555732267,0.5912597037916989,0.4089845032606403,1,0
10024995_234,0.0,0.2754704343033839,0.4059466244571488,0.29628134448746424,0.48824535992061857,0.19553304609076733,0.25731750264534387,0.4480832740029801,0.4017750520850269,0.3364746022035516,0.34920441812346564,0.3978653784811181,0.26124992884810855,1,0
10008187_234,0.0,0.5253896228393811,0.758567061226672,0.5461938537145554,0.9278854186733761,0.48777608878313117,0.5482471777116377,0.7449530825908903,0.6455423054660578,0.7188032133041138,0.6160788224603896,0.703139754449739,0.5348225967792344,1,0
10007516_234,0.0,0.331454026434918,0.5722462228743398,0.5246284488953386,0.6585016414471222,0.3162536301614012,0.35295163082057773,0.6838416123872754,0.5078429599143596,0.5982368091789295,0.9931087289768179,0.6058762890063525,0.36790648316526453,1,0
10023476_234,0.0,0.39387316851752224,0.3633052205104969,0.4991347411700983,0.546886103689068,0.33019311757470754,0.3516699802465616,0.6859666779802981,0.44516427345513687,0.5534951045549258,0.4786288424317608,0.5916408180390659,0.3476119911045886,1,0
10007485_234,0.0,0.38642434509395457,0.92160783566338,0.40439472518468644,0.7777601029366752,0.34308891440697437,0.3989436045930246,0.669542248890846,0.5342814406041712,0.5551186336073256,0.5955306537928301,0.6139274666063013,0.39256137036969047,1,0
10019678_234,0.0,0.5753650555009383,0.551890237873506,0.709855400056451,0.7393904871784137,0.5941936206552592,0.5337410944175471,0.7940052209190731,0.530374490061908,0.8010217282091905,0.6007755463708505,0.9456195401275778,0.5420213704580731,1,0
10022590_234,0.0,0.4891085204847629,0.6590501629412804,0.49873369415889207,0.8739670184305595,0.3951084814286704,0.48743481269923533,0.6771871213469322,0.6781445344093834,0.6885146349982443,0.5896638168791194,0.6303690007690576,0.5185920033342204,1,0
10009345_234,0.0,0.4219563938270408,0.7244551610057232,0.4408525844709088,0.9060336199140044,0.34878738321054187,0.48647023880939744,0.7692670840665773,0.66113983033209,0.7349210119899272,0.6221904541611308,0.73512675534499,0.4929974854510527,1,0
10003566_234,0.0,0.43096839818002486,0.6222295553261088,0.5430144425364103,0.7911779499765696,0.390455753676876,0.4314492199464585,0.9329354139940685,0.5683255247181017,0.7297011150742566,0.7150253713147939,0.7836360270808215,0.4116451756686687,1,0
10005312_234,0.0,0.6821343980298764,0.5003975395198192,0.6145813056318451,0.772830565691016,0.6149341198190651,0.6204865190099657,0.7389196153749612,0.540448089165767,0.9055159477491159,0.5659175047659609,0.7672915454002838,0.60878943165968,0,1
10004725_234,0.0,0.8965741454417866,0.34772643925462926,0.5182214723436691,0.5440040557513893,0.7195993519861141,0.6398965655254032,0.4832262453001405,0.4000288590258809,0.707123598327018,0.311565828869215,0.5693995823416,0.610621393961652,0,1
10024784_234,0.0,0.9676942054278205,0.33494582428415254,0.5459543980869754,0.5055904752025832,0.7482241401603825,0.6093649909589446,0.5059489314113222,0.3955788603268227,0.7303591145519461,0.35203513407161674,0.6054933724431085,0.5934099521215336,0,1
